ID,CNS,GP1,GP2,GP3,GP4,EDU4,GP5,GP6,GP7,GP8,TA1,TA2,TA3,TA4,TA5,KNO1,KNO2,KNO3,KNO4,BFX1,BFX2,BFX3,BFX4,BFX5,BFX6,BFX7,BFX8,BFX9,BFX10,BFX11,BFX12,BFX13,BFX14,BFX15,WEIP1,WEIP2,WEIP3,WEIP4,WEIP5,WEIP6,WEIP7,WEIP8,WEIP9,WEIP10,WEIP11,WEIP12,WEIP13,WEIP14,WEIP15,WEIP16,PEER1,PEER2,PEER3,PEER4,PEER5,PEER6,TASK1,TASK2,TASK3,TASK4,TASK5,TASK6,AGE1,AGE2,GEN1,GEN2,RACE1,RACE2,ETH1,ETH2,EDU1,EDU2,TIE1,TIE2,TA6,TA7,AGE3,GEN3,RACE3,ETH3,EDU3,TIE3,TIE4,KNO5,KNO6,EXTRA,AGREE,CONSC,NEGEM,OPENM,OWNEA,OWNEM,OTHEA,OTHEM,PEERW,PEERC,TASKM,TASKG
P1,"Yes, I want to participate in this research and continue to the survey.",Management of Information Systems,"Had to do a business process analysis, come up with three solutions using technology to improve on it, and then make a prototype and some design document for it. The business process we focused on was hiring.",Information Systems,Computer Science,Bachelor's degree,More than 45 days,Business Process Analysis,"I don't really remember, but I believe this was formed for us",0,3,3,0,"A (A+, A or A-)","B (B+, B or B-)",0,1,2,3,3,4,3,5,3,4,2,3,5,2,3,3,1,2,1,1,1,1,1,4,5,5,5,3,3,2,2,1,3,1,1,4,4,3,5,5,3,4,4,3,3,3,5,26-35,3,Male,1,White/Caucasian,2,White,2,Junior,2,0,0,1,0,1,.333333333333333,.666666666666667,.666666666666667,.666666666666667,0,0,.666666666666667,1.33333333333333,3.33333333333333,3.66666666666667,2.33333333333333,4.66666666666667,2.66666666666667,1,4.75,2.5,1.5,4.5,3,3.66666666666667,3.66666666666667
P2,"Yes, I want to participate in this research and continue to the survey.",15859 Algorithms for Big Data,We investigated the problem of finding a subspace embedding for an in-database join without doing the full join.,Computer Science Theory,Information Systems,Master's degree,8 to 14 days,In-Database Subspace Embedding,I chose my own team.,0,2,0,1,"A (A+, A or A-)","A (A+, A or A-)",1,1,1,0,3,4,1,2,3,4,1,2,1,2,4,4,5,5,3,3,3,3,4,5,4,4,5,3,3,3,4,3,3,2,3,4,3,5,5,4,5,4,4,1,4,2,4,26-35,2,Male,2,Asian/Indian/Pacific Islands,1,Taiwanese,1,First-year graduate,1,0,1,0,.5,1,1,.5,.5,.5,0,.5,1,.5,3.66666666666667,4.33333333333333,4.66666666666667,1.33333333333333,3.33333333333333,3.25,4.5,3.25,2.75,4,5,3,3.33333333333333
P3,"Yes, I want to participate in this research and continue to the survey.",36290 Intro to Statistical Research Methodology,"The group was given a broad prompt about finding a relation between galaxy mass and the distance/brightness of stars. We first individually did statistical analysis and interpretation in R, then we combined our research and ideas to create a cohesive direction for the project and combined our work to make a final project.",Data Science,Statistics,Bachelor's degree,45 to 31 days,Predicting Galaxy Mass From Sky Location and Brightness,The team was formed for me.,0,4,3,1,"A (A+, A or A-)","A (A+, A or A-)",1,1,4,4,2,4,2,5,5,4,2,4,2,2,4,4,4,4,4,4,4,2,4,4,4,4,4,3,4,2,2,4,4,3,4,4,4,4,4,4,4,2,4,4,2,4,4,18-25,4,Female,2,Asian/Indian/Pacific Islands,4,Chinese,4,Sophomore,4,1,3,.75,.25,1,.5,1,1,1,.25,.75,1.25,1.25,4,4,3.33333333333333,3,4.33333333333333,3.5,4,2.75,3.75,4,4,3.33333333333333,3.33333333333333
P4,"Yes, I want to participate in this research and continue to the survey.",MHCI Capstone,"Our team of 5 is working for an industry client in the private student loan space, working to improve the loan process, both from within the application and from the larger frameworks of financial literacy and psychological support.",Human-Computer Interaction,Human-Computer Interaction,Master's degree,More than 45 days,Capstone,The team was formed for me.,1,4,4,0,Incomplete,Incomplete,0,1,0,5,3,4,2,3,4,5,3,2,4,1,3,3,5,5,5,4,4,2,4,5,3,5,4,2,1,2,3,3,3,3,5,4,4,3,2,4,4,3,3,4,3,4,4,18-25,3,Female,3,White/Caucasian,1,jewish,0,First-year graduate,4,0,4,1,0,.75,.75,.25,0,1,0,1,0,1.5,3.66666666666667,3.33333333333333,4.33333333333333,2.66666666666667,4.66666666666667,3.5,4.25,2,3.5,3.5,3.5,3.33333333333333,3.66666666666667
P5,"Yes, I want to participate in this research and continue to the survey.",Python,Using Python to analyze data,Data Science,Data Science,Master's degree,More than 45 days,Couesera,The team was formed for me.,1,20,20,0,"A (A+, A or A-)","A (A+, A or A-)",0,1,5,15,3,4,3,4,5,4,4,4,3,3,2,3,2,3,3,2,3,3,3,3,4,3,2,3,2,2,4,2,4,2,3,5,5,5,5,5,5,3,3,3,2,4,3,26-35,2,Female,5,Asian/Indian/Pacific Islands,1,NA,1,First-year graduate,6,5,1,1,0,.1,.25,.05,.05,.3,.25,.05,.25,.8,3,3,2.33333333333333,3.33333333333333,3.66666666666667,2.75,3,2.75,2.75,5,5,3,3
P6,"Yes, I want to participate in this research and continue to the survey.",Crowd Computing,We created an online course of best practices for Amazon Mechanical Turk requesters to help improve the crowdworker experience.,Human-Computer Interaction,Human-Computer Interaction,Doctoral degree,More than 45 days,Amazon Mechanical Turk Requester Tutorial,I chose my own team.,1,4,3,0,"A (A+, A or A-)","B (B+, B or B-)",1,0,3,3,3,4,1,5,5,3,2,3,4,2,4,4,4,3,4,3,3,2,3,4,3,4,4,3,3,3,4,3,3,3,3,1,4,4,3,3,4,4,4,4,4,2,4,26-35,0,Female,4,Asian/Indian/Pacific Islands,4,Chinese,2,Third-year graduate,0,0,3,.75,0,0,1,1,.5,0,0,.75,1,.75,3.33333333333333,4,4,4,4.33333333333333,2.75,3.75,3.25,3,2.75,4,4,3.33333333333333
P7,"Yes, I want to participate in this research and continue to the survey.",Persuasive Design,We designed a dating app that used a self affirmation intervention,Human-Computer Interaction,Human-Computer Interaction,Doctoral degree,45 to 31 days,Team Self Affirmation,I chose my own team.,1,6,4,1,"A (A+, A or A-)","A (A+, A or A-)",0,1,0,5,4,4,1,5,4,4,4,3,5,1,3,5,4,4,4,3,3,2,4,4,4,5,4,2,3,2,3,4,4,4,4,4,4,5,4,5,4,4,4,5,4,4,4,36-45,0,Female,3,White/Caucasian,3,Mixed European,4,3rd year graduate,1,1,1,.666666666666667,.166666666666667,0,.5,.5,.666666666666667,.166666666666667,.166666666666667,.166666666666667,0,1,3,3.66666666666667,4,4,4.33333333333333,3,4.25,2.5,4,4.25,4.5,4.33333333333333,4
P8,"Yes, I want to participate in this research and continue to the survey.",Interaction Design Studio 2,"As a team of 4, we created a concept video for an IOT device. Our IOT system was carried out in the form of smart tables that would connect you to individuals around your environment whenever you needed a ""coffee break"" while studying.",Human-Computer Interaction,Psychology,Bachelor's degree,30 to 15 days,IoT Kickstarter-Style Video,The team was formed for me.,0,4,3,0,"A (A+, A or A-)",Incomplete,0,1,0,3,4,4,2,3,4,3,2,4,2,2,2,5,5,5,1,1,1,1,2,3,3,4,5,3,2,2,4,2,1,1,1,5,4,5,5,4,4,3,3,3,3,3,5,18-25,3,Female,3,Asian/Indian/Pacific Islands,1,Chinese,1,Junior,0,0,2,.75,0,.75,.75,.25,.25,0,0,.5,0,1,2.33333333333333,4.33333333333333,3.66666666666667,2,3,1.25,3.75,2.75,1.25,4.5,4.5,3,3.66666666666667
P8,"Yes, I want to participate in this research and continue to the survey.",workplace safety,"the project included doing secondary research on best practices related to workplace safety in education settings (university, colleges) and required the group to present a thorough literature, proposed methodology, and expected contribution to practice.",business,Psychology,Doctoral degree,30 to 15 days,workplace safety in higher education: status of literature,I chose my own team.,0,4,3,1,"B (B+, B or B-)","B (B+, B or B-)",1,1,2,2,3,4,2,3,4,4,3,2,1,1,4,5,4,4,4,4,4,3,4,4,4,4,5,5,5,3,5,3,5,3,3,4,4,5,4,4,4,4,5,5,4,3,4,36-45,2,Male,2,Asian/Indian/Pacific Islands,3,Asian Indian,3,PhD,4,0,4,.75,.25,.5,.5,.75,.75,1,0,1,.75,.75,3.66666666666667,4,4,2,4.33333333333333,3.75,4.25,4.5,3.5,4,4.5,4.66666666666667,3.66666666666667
P10,"Yes, I want to participate in this research and continue to the survey.",transportation,influence end consumer behaviors on last mile logistic,Engineering and Public Policy,Engineering and Public Policy,Doctoral degree,More than 45 days,Online vs in-store shopping,I chose my own team.,1,3,1,1,"A (A+, A or A-)","A (A+, A or A-)",1,1,3,3,4,4,1,1,1,4,1,2,1,4,4,1,4,4,3,4,4,4,4,4,4,3,4,4,3,4,4,3,4,4,2,3,4,4,5,5,5,4,4,4,5,5,5,26-35,1,Female,0,White/Caucasian,1,-,0,master,1,2,0,.333333333333333,.333333333333333,.333333333333333,0,.333333333333333,0,.333333333333333,.666666666666667,0,1.33333333333333,1.33333333333333,3.33333333333333,3.33333333333333,4.33333333333333,1.33333333333333,2,4,3.75,3.75,3.25,4.25,4.5,4,5
P11,"Yes, I want to participate in this research and continue to the survey.",Technology in the Classroom,Develop an interactive web site,Learning Science,Psychology,Doctoral degree,8 to 14 days,Cognitive Website Design,The team was formed for me.,0,4,3,0,"A (A+, A or A-)","A (A+, A or A-)",1,1,3,3,1,3,3,4,5,5,3,3,2,1,3,2,5,4,4,4,4,4,4,3,3,2,4,4,3,4,4,3,4,3,3,4,3,5,3,4,4,3,2,5,4,5,5,56 or older,1,Male,1,White/Caucasian,4,Caucasian,4,4th year graduate    Post MA,3,0,1,.75,0,.25,.25,1,1,.75,0,.25,1,1,4.33333333333333,2.66666666666667,3.66666666666667,2.66666666666667,4.66666666666667,4,3,3.75,3.25,3.5,4.5,3.33333333333333,4.66666666666667
P12,"Yes, I want to participate in this research and continue to the survey.",reinforcement learning,RL for inverted pendulum,Machine Learning,Machine Learning,Master's degree,7 days or less,null,I chose my own team.,1,2,0,1,"B (B+, B or B-)","B (B+, B or B-)",0,1,0,1,2,3,2,2,4,3,2,3,2,2,4,3,4,4,4,3,3,3,3,4,3,3,4,4,3,4,4,4,4,3,3,4,4,4,4,4,4,4,3,3,4,3,2,18-25,1,Male,1,Asian/Indian/Pacific Islands,1,Chinese,1,Second-year graduate,1,1,0,0,.5,.5,.5,.5,.5,.5,.5,0,0,1,3.66666666666667,3.33333333333333,3.66666666666667,2,4,3,3.5,3.75,3.5,4,4,3.33333333333333,3
P13,"Yes, I want to participate in this research and continue to the survey.",Machine Learning with Large Dataset,Predicting potential accepted answers on StackExchange,Machine Learning,Data Science,Master's degree,30 to 15 days,10605 Group 4,I chose my own team.,0,6,4,1,"A (A+, A or A-)","A (A+, A or A-)",0,1,3,5,4,4,3,4,4,3,1,2,4,2,4,4,5,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,3,4,4,5,4,4,4,4,4,4,4,3,4,18-25,6,Male,3,Asian/Indian/Pacific Islands,6,Chinese,5,Second-year graduate,6,1,4,.666666666666667,.166666666666667,1,.5,1,.833333333333333,1,.166666666666667,.666666666666667,.5,1,3,4.33333333333333,4,3.33333333333333,4,4,4,3.5,3.75,4,4.5,4,3.66666666666667
P14,"Yes, I want to participate in this research and continue to the survey.",88-223,A comprehensive analysis of a decision of our choosing.,Decision Sciences,Information Systems,Bachelor's degree,More than 45 days,Greek Life Housing Decision Analsis,I chose my own team.,0,3,2,0,"A (A+, A or A-)","A (A+, A or A-)",1,1,2,2,2,2,1,4,2,4,2,4,2,2,2,2,5,4,3,4,3,4,4,4,4,4,4,2,3,2,2,1,3,4,4,3,4,5,3,3,3,3,2,3,3,2,3,18-25,3,Female,3,White/Caucasian,3,American/Irish,2,Sophomore,0,3,0,.666666666666667,0,1,1,1,.666666666666667,0,1,0,1,1,3.33333333333333,2.66666666666667,4,2.66666666666667,3,3.75,4,2.25,3,3.25,4,2.66666666666667,2.66666666666667
P15,"Yes, I want to participate in this research and continue to the survey.",15-618 Parallel Programming,Applying OpenMP and MPI to an iterative deepening search algorithm and comparing the performance.,Computer Science Theory,Computer Science Theory,Master's degree,45 to 31 days,Pac-Man Solver,I chose my own team.,1,2,1,0,"B (B+, B or B-)","B (B+, B or B-)",1,1,1,1,5,2,2,4,2,2,2,4,3,1,3,4,5,4,2,3,4,2,3,5,5,5,5,4,4,4,3,2,3,5,2,3,4,5,4,4,3,4,4,5,4,3,4,18-25,2,Male,2,Asian/Indian/Pacific Islands,2,Chinese,2,Second-year graduate,2,0,2,.5,0,1,1,1,1,1,0,1,1,1,2,3.33333333333333,3.66666666666667,3,3,3,5,3.75,3,3.75,4,4.33333333333333,3.66666666666667
P16,"Yes, I want to participate in this research and continue to the survey.",Socia Media Impact and Implications,to complete the final project,Communications,Design,Master's degree,8 to 14 days,Final paper,I chose my own team.,0,2,1,0,"A (A+, A or A-)","A (A+, A or A-)",0,1,1,1,5,4,1,5,5,1,4,1,5,4,3,3,5,4,4,2,2,3,2,4,3,4,4,2,3,4,2,3,4,3,3,5,4,3,4,4,4,4,5,5,4,5,5,18-25,0,Female,1,Asian/Indian/Pacific Islands,0,Asian,0,First-year graduate,1,0,1,.5,0,0,.5,0,0,.5,0,.5,.5,1,1.66666666666667,3,5,4,3.66666666666667,2.25,3.75,2.75,3.25,4.25,3.5,4.66666666666667,4.66666666666667
P17,"Yes, I want to participate in this research and continue to the survey.",Link prediction with evolve gcn,Add a layer of LSTM to the EvolveGCN model  from AAAI. This tries to optimize GCN’s ability to capture time series information.,Machine Learning,Data Science,Master's degree,8 to 14 days,Link prediction with recurrent graph convolutions netowrk,I chose my own team.,0,3,2,0,"A (A+, A or A-)","A (A+, A or A-)",1,1,2,1,3,4,2,4,2,2,2,4,4,3,3,4,4,3,3,4,4,4,4,4,3,4,4,3,3,3,4,3,3,4,3,4,4,4,4,4,3,4,3,3,4,3,4,18-25,3,Female,2,Asian/Indian/Pacific Islands,3,Chinese,3,First-year graduate,3,1,1,.666666666666667,0,1,.666666666666667,1,1,1,.333333333333333,.333333333333333,1,.666666666666667,2.66666666666667,4,3.33333333333333,3.66666666666667,2.66666666666667,4,3.75,3.25,3.25,4,3.5,3.33333333333333,3.66666666666667
P18,"Yes, I want to participate in this research and continue to the survey.",Development Economics,It was a homework assignment that required us to answer some questions that were case studies and we had to comparative statics analysis.,Economics,Economics,Doctoral degree,7 days or less,It was an assignment,I chose my own team.,1,8,0,8,"A (A+, A or A-)","A (A+, A or A-)",0,1,4,8,3,4,2,5,5,4,4,5,5,1,4,5,5,3,3,2,2,2,2,3,1,4,5,5,5,5,5,5,5,4,4,4,4,4,4,3,5,4,4,3,4,3,4,26-35,6,Female,4,Asian/Indian/Pacific Islands,2,Indian,2,3rd year PhD program,4,4,4,0,1,.75,.5,.25,.25,.5,.5,.5,.5,1.125,3.66666666666667,3.66666666666667,3.33333333333333,4.33333333333333,4.33333333333333,2,3.25,5,4.5,3.75,4.5,3.66666666666667,3.66666666666667
P19,"Yes, I want to participate in this research and continue to the survey.",17-214 Principles of Software Construction,"Create a data framework in any domain that supports data and visualization plugins, and performs meaningful analysis on provided data.",Software Engineering,Computer Science Theory,Bachelor's degree,8 to 14 days,HW5,I chose my own team.,0,3,3,0,"A (A+, A or A-)","A (A+, A or A-)",0,1,1,1,4,4,4,2,4,3,3,4,3,3,1,4,4,2,3,4,4,3,4,5,4,4,4,3,2,3,3,2,2,2,2,4,4,4,3,4,5,3,3,4,3,4,4,18-25,3,Male,3,Asian/Indian/Pacific Islands,3,Taiwanese + Chinese American,1,Sophomore,3,1,2,1,0,1,1,1,.333333333333333,1,.333333333333333,.666666666666667,.333333333333333,.666666666666667,2,3.66666666666667,2.66666666666667,3,3.33333333333333,3.75,4.25,2.75,2,3.75,4.5,3.33333333333333,3.66666666666667
P20,"Yes, I want to participate in this research and continue to the survey.",MSc Psychology,Interviews on a specific topic,Psychology,Psychology,Master's degree,45 to 31 days,No name,The team was formed for me.,1,4,3,0,"A (A+, A or A-)","A (A+, A or A-)",1,1,3,3,5,5,4,5,4,1,2,3,5,1,1,5,5,1,5,2,2,2,2,4,4,5,5,3,3,3,3,2,4,3,2,4,4,4,4,4,4,5,5,5,5,5,5,18-25,3,Female,2,White/Caucasian,2,British,2,First-year graduate,3,0,3,.75,0,.75,.5,.5,.5,.75,0,.75,1,1,1,4.66666666666667,3.33333333333333,5,4.66666666666667,2,4.5,3,2.75,4,4,5,5
P21,"Yes, I want to participate in this research and continue to the survey.",Pragmatics,Average people group,Linguistics,Linguistics,Bachelor's degree,7 days or less,Pragmatic analysis of Instagram users' comments in product promotion posts,I chose my own team.,1,4,4,2,"B (B+, B or B-)","A (A+, A or A-)",1,1,4,4,3,3,4,2,5,3,3,3,2,3,3,4,3,5,5,3,3,4,4,4,4,4,4,3,3,4,3,2,2,3,3,4,4,4,5,4,4,4,4,4,4,3,4,18-25,22,Female,2,Asian/Indian/Pacific Islands,4,Chinese,1,Senior,4,4,1,1,.5,5.5,.5,1,.25,1,1,.25,1.25,1.25,3,3.33333333333333,2.66666666666667,1.66666666666667,4.33333333333333,3.5,4,3.25,2.5,4.25,4,4,3.66666666666667
P22,"Yes, I want to participate in this research and continue to the survey.",Probabilistic Graphical Models,We use a latent Dirichlet allocation model to cluster customers in different groups based on their purchasing behavior.,Machine Learning,Product Management,Doctoral degree,8 to 14 days,Using topic models in studying customer product choices,I chose my own team.,0,3,1,1,"A (A+, A or A-)","A (A+, A or A-)",0,1,2,2,4,5,4,4,5,5,3,5,2,3,4,2,4,4,5,4,4,3,3,5,4,5,5,2,3,4,5,4,4,4,4,5,5,4,4,4,5,4,4,4,5,3,3,18-25,2,Female,1,Asian/Indian/Pacific Islands,2,Asian,2,Second-year graduate,3,1,1,.333333333333333,.333333333333333,.666666666666667,.333333333333333,.666666666666667,.666666666666667,1,.333333333333333,.333333333333333,.666666666666667,1,3.66666666666667,3.33333333333333,2.33333333333333,2.66666666666667,4.33333333333333,3.5,4.75,3.5,4,4.5,4.5,4,3.66666666666667
P23,"Yes, I want to participate in this research and continue to the survey.",Statistics,We have to come up with a research and do it,Statistics,Communication,Bachelor's degree,More than 45 days,Research project,I chose my own team.,0,6,0,6,"B (B+, B or B-)","B (B+, B or B-)",0,1,5,6,4,5,1,4,3,3,2,1,2,2,4,5,5,4,3,3,2,1,1,4,5,4,5,3,2,3,3,2,4,3,4,3,3,5,5,5,5,4,4,4,4,3,5,18-25,6,Female,5,Asian/Indian/Pacific Islands,6,Taiwan,6,Sophomore,6,5,1,0,1,1,.833333333333333,1,1,1,.833333333333333,.166666666666667,.833333333333333,1.16666666666667,3,4.66666666666667,5,2.66666666666667,3.33333333333333,1.75,4.5,2.75,3.25,4,5,4,4
P24,"Yes, I want to participate in this research and continue to the survey.",API Design and Implementation (17-480),The task of the project was to translate an old existing C API from one language to another. We were also tasked with improving the API to follow API Design Principles learned in class.,Software Engineering,Electrical and Computer Engineering,Master's degree,8 to 14 days,Homework 2: Found in translation,The team was formed for me.,0,2,2,0,"B (B+, B or B-)",Incomplete,1,1,2,2,3,4,2,2,5,4,1,4,1,2,3,3,4,4,3,2,2,3,2,5,4,4,5,4,4,4,3,2,2,2,3,4,3,4,4,4,4,3,3,3,2,2,4,18-25,2,Male,1,Black/African,0,Nigerian/African American,0,First-year graduate,2,0,2,1,0,1,.5,0,0,1,0,1,1.5,1.5,3.33333333333333,4,3.33333333333333,1.66666666666667,4,2.25,4.5,3.75,2.25,3.75,4,3,2.66666666666667
P25,"Yes, I want to participate in this research and continue to the survey.",17637 Web Application Development,"My partner and I designed a website that allows users play an online piano, record their playing, and implemented an RNN to enhance their music.",Computer Science Theory,Engineering and Public Policy,Master's degree,30 to 15 days,Music latum,I chose my own team.,0,1,1,0,"B (B+, B or B-)","A (A+, A or A-)",1,1,0,1,4,4,4,4,4,3,2,2,4,2,2,3,3,3,3,4,3,3,3,4,3,4,2,4,4,3,3,2,2,3,3,3,3,3,4,3,5,4,3,4,3,3,3,18-25,1,Female,1,Asian/Indian/Pacific Islands,1,Chinese,1,First-year graduate,1,0,1,1,0,1,1,1,1,1,0,1,1,2,2.33333333333333,3.66666666666667,3,3.66666666666667,3.66666666666667,3.25,3.25,3.5,2.5,3.25,4,3.66666666666667,3
